"pca1" "pca2" "population"
-0.0142 -0.0546 "JPT"
-0.0146 -0.0556 "JPT"
-0.0149 -0.0545 "JPT"
-0.0149 -0.0556 "JPT"
-0.0149 -0.0551 "JPT"
-0.0144 -0.0549 "JPT"
-0.015 -0.0553 "JPT"
-0.0141 -0.055 "JPT"
-0.0142 -0.0545 "JPT"
-0.0144 -0.0556 "JPT"
-0.0142 -0.0555 "JPT"
-0.0144 -0.0558 "JPT"
-0.044 0.0158 "YRI"
-0.044 0.0161 "YRI"
-0.0447 0.0168 "YRI"
-0.0445 0.0162 "YRI"
-0.045 0.017 "YRI"
-0.0436 0.0157 "YRI"
-0.0447 0.0175 "YRI"
-0.0452 0.0165 "YRI"
-0.0446 0.0162 "YRI"
-0.0455 0.017 "YRI"
-0.0439 0.0166 "YRI"
-0.0443 0.0167 "YRI"
-0.0448 0.0162 "YRI"
-0.0441 0.0161 "YRI"
-0.0446 0.0168 "YRI"
-0.0445 0.0158 "YRI"
-0.0448 0.0158 "YRI"
-0.045 0.0169 "YRI"
-0.0437 0.0158 "YRI"
-0.045 0.0162 "YRI"
-0.0443 0.0158 "YRI"
-0.045 0.0159 "YRI"
-0.0444 0.0165 "YRI"
-0.0447 0.0162 "YRI"
-0.0445 0.0158 "YRI"
-0.0436 0.0168 "YRI"
-0.0438 0.0167 "YRI"
-0.0447 0.0166 "YRI"
-0.0446 0.0166 "YRI"
-0.0454 0.0164 "YRI"
-0.0442 0.0173 "YRI"
-0.0447 0.0171 "YRI"
-0.0448 0.0172 "YRI"
-0.045 0.0175 "YRI"
-0.0447 0.0161 "YRI"
-0.0448 0.0165 "YRI"
-0.0445 0.0167 "YRI"
-0.0445 0.0157 "YRI"
-0.045 0.0167 "YRI"
-0.0451 0.0165 "YRI"
-0.0453 0.0168 "YRI"
-0.0451 0.017 "YRI"
-0.0443 0.0163 "YRI"
-0.0445 0.0169 "YRI"
-0.0445 0.0163 "YRI"
-0.045 0.0168 "YRI"
-0.0447 0.0167 "YRI"
-0.045 0.0157 "YRI"
-0.0445 0.017 "YRI"
-0.0448 0.016 "YRI"
-0.0439 0.0167 "YRI"
-0.0439 0.0166 "YRI"
-0.0442 0.0168 "YRI"
-0.0444 0.0162 "YRI"
-0.0443 0.0161 "YRI"
-0.0446 0.016 "YRI"
-0.045 0.0177 "YRI"
-0.045 0.017 "YRI"
-0.0446 0.0176 "YRI"
-0.0449 0.0166 "YRI"
-0.0447 0.0164 "YRI"
-0.0451 0.0164 "YRI"
-0.045 0.0171 "YRI"
-0.0447 0.0176 "YRI"
-0.0455 0.0169 "YRI"
-0.0444 0.0168 "YRI"
-0.0443 0.0163 "YRI"
-0.0443 0.0164 "YRI"
-0.0446 0.016 "YRI"
-0.0446 0.0162 "YRI"
-0.0447 0.0169 "YRI"
-0.0443 0.017 "YRI"
-0.0451 0.0161 "YRI"
-0.0447 0.0171 "YRI"
-0.0445 0.016 "YRI"
-0.0445 0.0181 "YRI"
-0.0449 0.0172 "YRI"
-0.0441 0.0168 "YRI"
-0.044 0.0159 "YRI"
-0.0444 0.0166 "YRI"
-0.0452 0.0165 "YRI"
-0.045 0.0171 "YRI"
-0.0448 0.0165 "YRI"
-0.0446 0.0171 "YRI"
-0.0451 0.017 "YRI"
-0.0449 0.0165 "YRI"
-0.0446 0.0157 "YRI"
-0.045 0.0161 "YRI"
-0.0443 0.0168 "YRI"
-0.0442 0.0156 "YRI"
-0.0446 0.0166 "YRI"
-0.0445 0.017 "YRI"
-0.0444 0.0164 "YRI"
-0.0445 0.0165 "YRI"
-0.0445 0.0163 "YRI"
-0.0446 0.0161 "YRI"
-0.0448 0.0162 "YRI"
-0.0451 0.0161 "YRI"
-0.0451 0.0172 "YRI"
-0.0452 0.0167 "YRI"
-0.0446 0.0168 "YRI"
-0.0431 0.0158 "YRI"
-0.0447 0.0166 "YRI"
-0.0442 0.0158 "YRI"
-0.0445 0.0168 "YRI"
-0.0443 0.0161 "YRI"
-0.043 0.0153 "LWK"
-0.0427 0.0163 "LWK"
-0.0423 0.0159 "LWK"
-0.0432 0.015 "LWK"
-0.0421 0.0152 "LWK"
-0.043 0.0161 "LWK"
-0.0421 0.0142 "LWK"
-0.042 0.0153 "LWK"
-0.0422 0.016 "LWK"
-0.0434 0.0166 "LWK"
-0.0431 0.0151 "LWK"
-0.0423 0.0156 "LWK"
-0.0425 0.0157 "LWK"
-0.0429 0.0154 "LWK"
-0.0412 0.0146 "LWK"
-0.0424 0.0165 "LWK"
-0.0433 0.016 "LWK"
-0.0434 0.0157 "LWK"
-0.0432 0.0152 "LWK"
-0.0423 0.0154 "LWK"
-0.042 0.0158 "LWK"
-0.0426 0.0158 "LWK"
-0.0425 0.0152 "LWK"
-0.043 0.0159 "LWK"
-0.0429 0.0142 "LWK"
-0.0426 0.0157 "LWK"
-0.0422 0.0158 "LWK"
-0.0424 0.0157 "LWK"
-0.0428 0.0162 "LWK"
-0.0432 0.016 "LWK"
-0.0426 0.0164 "LWK"
-0.0431 0.0162 "LWK"
-0.0422 0.0144 "LWK"
-0.0417 0.0155 "LWK"
-0.0421 0.0153 "LWK"
-0.0424 0.0146 "LWK"
-0.0437 0.0163 "LWK"
-0.0417 0.0155 "LWK"
-0.0424 0.0148 "LWK"
-0.0436 0.0157 "LWK"
-0.043 0.0148 "LWK"
-0.043 0.0158 "LWK"
-0.0433 0.0162 "LWK"
-0.0432 0.0162 "LWK"
-0.0432 0.0157 "LWK"
-0.0435 0.0156 "LWK"
-0.0414 0.0151 "LWK"
-0.0425 0.0153 "LWK"
-0.0427 0.016 "LWK"
-0.0424 0.015 "LWK"
-0.0428 0.0163 "LWK"
-0.0432 0.0154 "LWK"
-0.0418 0.0153 "LWK"
-0.0422 0.0147 "LWK"
-0.0429 0.015 "LWK"
-0.0413 0.0147 "LWK"
-0.0431 0.0156 "LWK"
-0.0428 0.0155 "LWK"
-0.0426 0.0158 "LWK"
-0.0422 0.0158 "LWK"
-0.0429 0.0153 "LWK"
-0.0423 0.0148 "LWK"
-0.043 0.0159 "LWK"
-0.0424 0.0151 "LWK"
-0.0429 0.0149 "LWK"
-0.0435 0.0164 "LWK"
-0.0424 0.0153 "LWK"
-0.042 0.015 "LWK"
-0.0429 0.0146 "LWK"
-0.0435 0.0153 "LWK"
-0.0436 0.0164 "LWK"
-0.0416 0.0152 "LWK"
-0.0425 0.0153 "LWK"
-0.0422 0.0154 "LWK"
-0.0421 0.0142 "LWK"
-0.0427 0.0162 "LWK"
-0.0427 0.0157 "LWK"
-0.0415 0.0143 "LWK"
-0.0418 0.0145 "LWK"
-0.0426 0.0149 "LWK"
-0.043 0.0147 "LWK"
-0.0302 0.0021 "ASW"
-8e-04 -0.0056 "MEX"
0.0014 -0.0021 "MEX"
-0.0021 -0.007 "MEX"
-0.0012 -0.008 "MEX"
-0.0011 -0.0084 "MEX"
-0.0055 -0.0185 "MEX"
-0.0042 -0.015 "MEX"
-0.0058 -0.0203 "MEX"
-0.0018 -0.0113 "MEX"
-0.004 -0.0164 "MEX"
-0.0036 -0.0169 "MEX"
-0.0047 -0.0171 "MEX"
-0.0037 -0.0172 "MEX"
-0.007 -0.0206 "MEX"
-0.0057 -0.0183 "MEX"
-0.0074 -0.0213 "MEX"
-0.0011 -0.0114 "MEX"
-0.0041 -0.0154 "MEX"
-0.0033 -0.0147 "MEX"
9e-04 -0.0019 "MEX"
-0.0016 -0.0095 "MEX"
-3e-04 -0.0059 "MEX"
-0.0018 -0.0051 "MEX"
0.0026 0.0018 "MEX"
4e-04 -0.0017 "MEX"
-0.0053 -0.0203 "MEX"
-0.0034 -0.0168 "MEX"
-0.0041 -0.0179 "MEX"
5e-04 -0.0102 "MEX"
-0.0041 -0.0157 "MEX"
-0.002 -0.0135 "MEX"
-0.0357 0.0146 "ASW"
-0.037 0.0135 "ASW"
-0.0362 0.0133 "ASW"
-0.0366 0.0143 "ASW"
-0.0366 0.0137 "ASW"
-0.0374 0.0148 "ASW"
-0.0281 0.0104 "ASW"
-0.0382 0.0143 "ASW"
-0.0392 0.0141 "ASW"
-0.0318 0.0127 "ASW"
-0.0255 0.0105 "ASW"
-0.0052 -0.0186 "MEX"
-0.0056 -0.0204 "MEX"
-0.004 -0.0134 "MEX"
-0.0068 -0.0224 "MEX"
-0.0051 -0.0178 "MEX"
-0.0041 -0.0161 "MEX"
-0.0065 -0.0169 "MEX"
-0.0045 -0.0149 "MEX"
-0.0023 -0.011 "MEX"
-0.0043 -0.0223 "MEX"
-0.0032 -0.0165 "MEX"
-0.0063 -0.025 "MEX"
-0.0038 -0.0198 "MEX"
-0.0052 -0.0236 "MEX"
-0.0038 -0.0148 "MEX"
-0.0013 -0.0092 "MEX"
-0.0021 -0.0121 "MEX"
-0.0066 -0.0247 "MEX"
-0.0055 -0.0157 "MEX"
-0.0068 -0.0197 "MEX"
-0.0061 -0.0275 "MEX"
-0.0065 -0.0283 "MEX"
-0.0054 -0.019 "MEX"
-0.0067 -0.02 "MEX"
-0.0056 -0.0203 "MEX"
-0.0035 -0.0124 "MEX"
-0.0043 -0.0167 "MEX"
-0.0038 -0.0139 "MEX"
-0.0024 -0.012 "MEX"
-0.0047 -0.0162 "MEX"
-0.0032 -0.0143 "MEX"
-0.0062 -0.0147 "MEX"
-0.0054 -0.0133 "MEX"
-0.0061 -0.0131 "MEX"
-0.0026 -0.0097 "MEX"
-0.0022 -0.0117 "MEX"
-0.0032 -0.011 "MEX"
-0.0047 -0.0158 "MEX"
-0.0053 -0.0271 "MEX"
-0.005 -0.0205 "MEX"
-0.0063 -0.0229 "MEX"
-0.0045 -0.0148 "MEX"
-0.0057 -0.0187 "MEX"
-0.0014 -0.0089 "MEX"
-0.0048 -0.0162 "MEX"
-0.0029 -0.014 "MEX"
-0.0303 0.0113 "ASW"
-0.0301 0.0123 "ASW"
-0.0303 0.0113 "ASW"
-0.0314 0.013 "ASW"
-0.0359 0.0129 "ASW"
-0.034 0.0127 "ASW"
-0.0353 0.0127 "ASW"
-0.0399 0.0139 "ASW"
-0.0377 0.0131 "ASW"
-0.035 0.0142 "ASW"
-0.0384 0.0143 "ASW"
-0.0382 0.0135 "ASW"
-0.0291 0.0133 "ASW"
-0.035 0.014 "ASW"
-0.0386 0.015 "ASW"
-0.0399 0.0149 "ASW"
-0.0391 0.0152 "ASW"
-0.038 0.0145 "ASW"
-0.0246 0.0066 "ASW"
-0.0375 0.0132 "ASW"
-0.033 0.012 "ASW"
-0.0312 0.0125 "ASW"
-0.03 0.0107 "ASW"
-0.0403 0.0147 "ASW"
-0.0357 0.0139 "ASW"
-0.0328 0.0109 "ASW"
-0.035 0.0139 "ASW"
-0.0361 0.0138 "ASW"
-0.0241 0.0113 "ASW"
-0.0369 0.014 "ASW"
-0.0312 0.0123 "ASW"
-0.03 0.0122 "ASW"
-0.0354 0.0125 "ASW"
-0.0369 0.0132 "ASW"
-0.0326 0.0133 "ASW"
-0.0378 0.0153 "ASW"
-0.0429 0.0154 "ASW"
-0.0311 0.012 "ASW"
-0.0369 0.014 "ASW"
-0.0376 0.0138 "ASW"
-0.0364 0.0133 "ASW"
-0.0294 -7e-04 "ASW"
-0.0329 0.0121 "ASW"
-0.0339 0.0124 "ASW"
-0.0302 0.0129 "ASW"
-0.0303 0.0093 "ASW"
-0.032 0.0133 "ASW"
-0.0343 0.0132 "ASW"
-0.037 0.0144 "ASW"
-0.0265 0.0112 "ASW"
-0.0328 0.0132 "ASW"
-0.0253 0.0109 "ASW"
-0.0311 0.0117 "ASW"
-0.0367 0.0133 "ASW"
